"","roms_temp","roms_surf_sal","uEast","vNorth","year","station","mat_sex","haul_type","cpue","gear_temp","date","y_f","lon","lat","station_bathy","roms_dates"
"1",0.210913628339767,31.1778259277344,-0.0037634011823684,-0.00397276878356934,2010,"B-08","legal male",3,1467.88024839139,2.2,2010-06-12,"2010",-595.819064130419,633.973790670937,51.9232749938965,2010-06-13 12:00:00
"2",0.641153037548065,31.2425842285156,0.00208792532794178,6.80073071634979e-06,2010,"C-08","legal male",3,339.796745063459,2,2010-06-12,"2010",-589.581579714094,670.579492844134,81.5498504638672,2010-06-13 12:00:00
"3",0.284592181444168,30.9520626068115,-0.00940603762865067,-0.00831063836812973,2010,"C-09","legal male",3,1099.45083466753,2.1,2010-06-12,"2010",-553.272651342548,665.320197498222,51.1766471862793,2010-06-13 12:00:00
"4",1.10709357261658,31.6850166320801,-0.0029088775627315,-0.000564892834518105,2010,"D-07","legal male",3,71.4545081676085,1.8,2010-06-13,"2010",-623.190336130345,712.389483191969,89.5833892822266,2010-06-13 12:00:00
"5",0.622877061367035,31.0634937286377,0.00208708853460848,-0.000377565389499068,2010,"D-09","legal male",3,155.873356364001,1,2010-06-12,"2010",-547.338637993221,700.360832291621,79.0676574707031,2010-06-13 12:00:00
"6",0.145523339509964,30.8687896728516,-0.00124444533139467,-0.0126683097332716,2010,"D-10","legal male",3,1935.34253200116,1.6,2010-06-11,"2010",-511.514077786547,697.179526980682,67.6752090454103,2010-06-13 12:00:00
"7",0.183753162622452,31.0572967529297,0.00234076427295804,-0.00419079232960939,2010,"E-10","legal male",3,128.276912175062,0.2,2010-06-11,"2010",-504.718420979896,733.897672042192,76.1205215454103,2010-06-13 12:00:00
"8",-0.00720915803685784,30.8905258178711,0.00531030353158712,-0.00385750434361398,2010,"E-11","legal male",3,3889.30020082076,1.5,2010-06-09,"2010",-470.047054884736,728.961060840281,63.6587905883789,2010-06-13 12:00:00
"9",0.153457328677177,30.7297840118408,-0.007247194647789,-0.00788039155304432,2010,"E-12","legal male",3,612.23700487634,1.7,2010-06-09,"2010",-431.085796943074,725.782580217868,53.7791824340821,2010-06-13 12:00:00
"10",0.0190828517079353,31.1981754302979,0.00134313176386058,0.00290997256524861,2010,"F-10","legal male",3,66.4715332491819,0.6,2010-06-11,"2010",-500.244769710142,770.197752263007,72.2983322143555,2010-06-13 12:00:00
"11",-0.0215240828692913,30.977237701416,0.00374826788902283,0.00205472204834223,2010,"F-11","legal male",3,93.5346698077075,0.4,2010-06-09,"2010",-462.749066810117,764.812727856174,89.3056335449218,2010-06-13 12:00:00
"12",-0.295442551374435,30.7880077362061,0.00658733397722244,0.000668022432364523,2010,"F-12","legal male",3,4471.3471083703,1.5,2010-06-09,"2010",-426.745417648369,762.839482359623,67.028091430664,2010-06-13 12:00:00
"13",0.2243582457304,30.788516998291,0.0125934956595302,-0.00142645090818405,2010,"F-13","legal male",3,337.622738186439,1.8,2010-06-09,"2010",-389.660232209291,758.478761375364,58.1817588806153,2010-06-13 12:00:00
"14",1.47629463672638,30.5844879150391,-0.0133276507258415,0.0133985942229629,2010,"F-14","legal male",3,331.326161412542,3.6,2010-06-09,"2010",-352.895863524731,756.291005737405,36.3400001525879,2010-06-13 12:00:00
"15",-0.363098978996277,31.1598434448242,0.00316140847280622,0.00314826192334294,2010,"G-09","legal male",3,73.8277894990746,0.8,2010-06-12,"2010",-531.327135458437,812.624402842302,60.5550842285156,2010-06-13 12:00:00
"16",-0.378713637590408,30.9732894897461,0.00238191010430455,0.00714463880285621,2010,"G-10","legal male",3,67.2360760239835,2.2,2010-06-11,"2010",-494.123916301358,807.55246881079,59.8791999816895,2010-06-13 12:00:00
"17",-0.357655972242355,30.8705501556396,0.000169302467838861,0.00726395566016436,2010,"G-11","legal male",3,590.286261401385,1.5,2010-06-09,"2010",-458.340229305985,801.777472169462,68.2443161010742,2010-06-13 12:00:00
"18",-0.270709276199341,30.808650970459,0.00535991601645947,0.00933433510363102,2010,"G-12","legal male",3,831.986632359127,2.1,2010-06-09,"2010",-421.378080136915,798.432143979321,63.2595710754393,2010-06-13 12:00:00
"19",-0.0432235300540924,30.9271087646484,0.0135205211117864,0.0062451190315187,2010,"G-13","legal male",3,459.798951227624,2.3,2010-06-08,"2010",-383.314392885845,794.166644604834,61.5569763183594,2010-06-13 12:00:00
"20",1.30166912078857,30.7933578491211,0.00596506427973509,-0.00306362612172961,2010,"G-14","legal male",3,130.950351830005,2.6,2010-06-08,"2010",-345.101519459992,792.233136224474,55.6699981689453,2010-06-13 12:00:00
"21",-0.157893911004066,31.3913230895996,0.010880365036428,0.0051083262078464,2010,"H-09","legal male",3,78.2708815447093,2.1,2010-06-11,"2010",-524.606607978079,848.475497366963,51.7117881774902,2010-06-13 12:00:00
"22",0.288685590028763,31.4021186828613,0.00652378425002098,0.00589806167408824,2010,"H-10","legal male",3,282.28725040055,2.2,2010-06-11,"2010",-488.675371871098,844.42831574836,49.560001373291,2010-06-13 12:00:00
"23",0.24560558795929,31.0844955444336,0.00433293543756008,0.0064115128479898,2010,"H-11","legal male",3,397.829012442006,2.3,2010-06-10,"2010",-451.173081509027,839.159783124405,53.6100006103514,2010-06-13 12:00:00
"24",0.336020618677139,31.1739349365234,0.0101880570873618,0.00816369149833918,2010,"H-12","legal male",3,0,2.3,2010-06-09,"2010",-415.539203334266,836.060599624343,60.0699996948241,2010-06-13 12:00:00
